strength,attention,meditation,deltha,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,high_gamma
55,43,47,2689483,914718,268513,344686,511368,597867,884348,253203
26,43,47,72716,32552,14915,19982,20300,103167,150310,41077
26,43,47,341357,104646,88622,76785,90222,227791,235778,104386
26,43,47,1165051,180146,18125,126918,132420,269904,239015,120795
26,43,47,87342,25508,2129,1508,3777,1449,1415,1069
26,43,47,17377,42049,12488,27972,13151,100334,123114,17865
26,43,47,604301,114150,111336,195759,200275,378043,248918,138553
26,43,47,1856221,323477,686920,445297,758161,685314,865941,839746
26,43,47,30615,45916,3118,2629,5793,3259,2147,903
26,43,47,93985,39370,48240,28025,36410,64777,38205,22855
26,43,47,1491492,289055,23765,35628,215041,510801,237782,123507
55,43,47,441697,171108,130622,115271,181666,113744,278432,63107
26,43,47,348818,351332,63343,115102,65202,376308,384035,78253
26,43,47,947458,82115,88713,135117,58357,170645,283513,70974
26,43,47,688618,284648,29616,96036,72704,309739,243685,160630
55,43,47,64814,105511,4099,3596,3632,1507,1866,413
26,43,47,177494,18349,3950,13482,14206,103636,77899,19470
26,43,47,874211,205228,27369,92602,53805,540759,168406,77464
26,43,47,2030188,1591761,1161474,726097,266371,1126356,554113,245903
26,43,47,91422,53557,3856,2438,8569,3373,2288,1097
26,43,47,72167,177177,18267,20870,50379,27356,49084,44421
26,43,47,628311,147258,41973,78227,268210,178103,186115,216710
55,43,47,499168,208753,57745,86418,248744,75440,186799,120789
26,43,47,31733,24388,3354,2068,9093,4479,2926,1376
26,43,47,901698,126403,26030,52527,76064,616491,168023,28138
26,43,47,250053,49878,4349,29427,25728,74653,34459,16566
26,43,47,16317,49519,2385,6518,10259,6500,2771,467
26,43,47,15900,77874,17704,47634,22422,37721,39072,25332
26,43,47,2539325,468620,372314,771514,384280,1517704,480338,1111378
55,43,47,320003,217202,16887,27046,25206,29331,11800,9047
26,43,47,216325,67320,24622,9010,16370,38756,57885,11867
51,43,47,601209,41033,7816,5023,85246,241606,241376,206861
80,43,47,825177,362343,91430,77656,67068,349478,181234,86014
51,43,47,26755,53566,2798,9515,14792,3938,2368,2415
51,43,47,665542,114755,2687,10543,72600,136134,111907,112886
51,43,47,940966,175039,11652,44536,61198,108204,184426,118376
51,43,47,349141,69372,28101,18000,28217,11940,14841,7600
51,0,0,1932277,999290,481712,144023,86083,63641,54058,103599
51,0,0,1011672,112024,60220,277327,86190,76109,106711,49843
80,0,0,846299,48613,66527,38799,25675,115064,137152,32354
51,0,0,508245,78350,142767,207610,97931,233923,80891,47739
51,0,0,37366,316096,27065,39385,21295,35081,28620,7641
26,0,0,30904,18052,8187,12030,4865,4299,3614,1990
26,0,0,1233372,440969,15281,58581,48629,35523,54685,70522
26,0,0,81495,31426,1918,2614,4975,2064,1382,2223
26,0,0,278485,384675,743519,313963,122832,159270,115309,88053
55,0,0,1451916,99898,17881,74269,69309,148246,150573,63689
26,0,0,1012813,185571,105737,84999,82753,68740,219198,168313
26,0,0,24746,29821,591,1507,2994,2652,1364,1691
26,0,0,462288,169151,140127,50185,44473,387525,177071,84693
26,0,0,696083,425493,17082,121726,112808,388713,228611,87390
26,0,0,2071432,123910,5759,2899,21979,7514,6968,6993
26,0,0,366961,150875,23960,90127,77390,431838,312035,100440
26,0,0,228976,64172,98777,41279,66751,280930,243648,113810
26,0,0,468406,69578,96170,127442,41364,269584,522177,191238
26,0,0,83361,45749,775,2712,1716,1491,2039,1504
26,0,0,407057,159830,128197,127143,142783,301244,142441,64485
26,0,0,74806,29300,31578,12613,26945,83521,72299,28549
26,0,0,601413,141575,98756,84954,73093,238475,176579,69379
26,0,0,692380,83607,50914,74222,142675,222985,420821,212070
26,0,0,1687373,87085,42143,26092,60206,360477,245255,44859
26,0,0,1135817,219737,130122,39687,124761,164043,97128,226183
55,0,0,1021547,235841,25140,39569,158704,252542,151058,84308
