strength,attention,meditation,deltha,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,high_gamma
26,0,0,146581,33182,68908,23251,46026,29333,20792,22911
26,0,0,189855,36948,60260,136582,61131,38383,7086,20650
26,0,0,70533,36647,81077,59347,48042,25836,21678,30621
26,0,0,996406,367098,88160,54255,161133,145149,177264,39463
26,0,0,11047,6753,9459,5699,5188,12705,2403,9581
26,0,0,150003,195541,37751,46265,23981,33808,12385,11624
26,0,0,827642,560714,131006,522034,114071,154973,54855,88800
26,0,0,126570,41762,38729,18943,10826,29363,12714,7068
26,0,0,616249,31812,32785,79735,29025,27349,18309,15128
26,0,0,1663487,209917,40501,61509,70565,121871,137549,41208
26,0,0,1818809,282129,44721,147980,91093,79542,67376,81191
26,0,0,283003,44594,17804,7124,67277,12897,17445,18554
26,0,0,193439,258176,5370,17226,14635,30443,20971,18535
26,0,0,330228,158949,176770,174987,150125,85463,119439,122492
26,0,0,584335,188675,90446,110919,57653,123290,52976,121224
26,0,0,27559,60315,20598,55885,9999,27495,25866,15251
26,0,0,1045326,304997,116379,89032,80824,113663,88796,54775
26,0,0,51243,169111,60055,48607,31650,44677,7616,13773
26,0,0,124164,79712,13648,26332,21008,39487,18979,13023
26,0,0,289040,55796,44957,18338,30479,37816,20432,15203
26,0,0,710498,187811,50858,11312,51921,20927,18691,10865
26,0,0,797693,839189,53264,101224,91923,120799,64091,31198
26,0,0,1724481,305500,27859,45884,106302,96802,101336,76687
26,0,0,255607,99676,18413,26311,17067,44059,37283,17974
26,0,0,710207,91076,14449,49446,14496,19207,17737,20916
26,0,0,150344,59724,12814,23791,34226,44855,13967,15840
26,0,0,534350,59719,43511,8683,20226,33277,31761,28854
26,0,0,1807038,272766,29350,67094,43253,64240,68768,64690
26,0,0,2393485,354830,62430,77292,104565,124396,96856,57705
26,0,0,240975,85726,19504,26585,20904,32710,9276,15211
26,0,0,615179,71287,17936,42124,21705,12077,24534,5660
26,0,0,1526724,127106,21719,64763,161821,99734,59037,108240
26,0,0,750421,71829,70939,112352,97865,89538,165498,58807
26,0,0,725991,246415,46920,126773,35704,31555,105445,90658
26,0,0,1200914,465302,63661,38104,202140,78078,48213,23653
26,0,0,508964,57716,17451,17824,7640,21081,9862,12595
26,0,0,100144,78067,33160,18104,34040,23513,9667,17791
26,0,0,247025,42236,18148,10012,16446,23510,7771,12741
26,0,0,576301,35244,84356,35356,48807,39613,13009,8543
26,0,0,740457,406592,28045,126464,115511,76759,50617,81474
26,0,0,557681,84347,38960,31131,37038,36939,24476,23280
26,0,0,2291691,892056,19363,86821,75635,100126,56962,77529
26,0,0,532102,139865,19087,9806,13124,31037,24992,12245
26,0,0,1338890,252343,260658,396520,169126,279372,140767,143143
26,0,0,718110,19701,4172,3682,7547,9519,31977,12357
26,0,0,729079,682017,20964,155802,74415,30779,52539,37725
26,0,0,627324,151850,77036,201365,143100,98288,62497,61879
26,0,0,1653185,569493,73238,29038,84215,179509,61906,53920
26,0,0,1073062,175256,33138,162076,32235,42717,146779,74853
26,0,0,1407204,258439,51121,69169,24700,129738,71219,76923
26,0,0,51359,49326,16311,19508,7261,16719,8601,14840
26,0,0,558685,32663,20678,7955,6699,20828,12272,18062
26,0,0,776924,355275,136783,99663,92620,50703,91671,25291
26,0,0,1801288,255874,238546,30814,51678,67868,30201,37495
26,0,0,129784,88227,22483,19881,21842,22592,12451,11393
26,0,0,266097,91004,8771,23686,29444,22297,13267,16933
26,0,0,904413,1135274,122886,66767,49044,81659,88629,45776
26,0,0,87453,61738,5899,25515,38987,19285,47292,22300
26,0,0,602064,26680,16507,13655,14500,16211,18283,14235
26,0,0,436691,312339,1343,92704,92775,152754,58965,45281
26,0,0,281667,149436,41749,4975,20536,19858,12135,10557
26,0,0,209866,43951,14477,42840,9482,30000,16862,6809
26,0,0,909229,65941,14866,22912,8976,7626,20863,19600
26,0,0,387051,1199264,91139,56426,51153,106744,68825,32632
29,0,0,402786,79731,67675,56800,14481,63871,33215,17716
26,0,0,1334049,501924,215105,122309,88490,80320,52556,23273
26,0,0,50557,7780,13141,28745,21518,82744,69651,13732
26,0,0,1264281,377175,95462,14816,29019,116759,78116,22263
55,0,0,831607,88151,23967,6670,11045,32265,35922,32008
26,0,0,383543,254301,141926,131625,54643,347450,166780,103189
26,0,0,565657,87824,26852,154444,43324,282614,264732,97183
55,0,0,245307,138891,144681,135742,81590,340197,191477,83343
26,0,0,141543,13592,32591,32070,23470,39573,88915,28868
26,0,0,338446,165350,79156,51145,60906,155832,200485,170537
26,0,0,457556,67627,63652,145793,53999,273753,124290,147062
55,0,0,1281872,40463,97229,83865,218132,323389,214919,154806
26,0,0,948039,67672,152367,6919,91112,134218,127673,34085
26,0,0,1106155,772853,429393,118552,655377,1342373,719418,338380
55,0,0,1117411,122109,12461,35813,27966,11203,6992,7445
26,0,0,239711,116750,49168,44339,52570,143527,279323,161812
26,0,0,1932828,801590,109880,96110,356564,1003378,846231,512506
26,0,0,279784,186148,91064,73392,84889,345237,345143,104258
55,0,0,16832,20285,819,2193,7034,2841,1397,951
26,0,0,792844,175754,12256,52351,102597,227039,308110,94574
26,0,0,604716,110615,25974,12387,33195,804593,164983,147322
55,0,0,1194237,167558,57817,27793,35970,10770,28069,9513
26,0,0,12984,10160,19148,20224,15296,71508,54653,20287
26,0,0,960027,237134,25629,55574,41123,344939,175759,204055
26,0,0,1094270,271266,70371,42937,46907,255540,353179,81254
55,0,0,107110,319337,28904,8988,59962,9433,19521,5668
26,0,0,1811711,84933,43931,36418,74515,478687,163988,61222
26,0,0,462187,242209,147270,43568,91344,514728,237327,87590
26,0,0,743604,266000,61976,28501,90202,269935,204423,70472
55,0,0,36614,59723,3751,5660,14186,11227,2599,5347
26,0,0,441306,23092,16615,12166,29707,89571,32464,14117
26,0,0,506906,180626,41915,213535,46692,262594,174780,86313
26,0,0,1707874,494211,133293,564930,509852,551428,551445,412536
55,0,0,69796,45369,3125,4039,11875,5501,4868,3711
51,0,0,451720,113924,84128,150469,159619,221814,174176,119870
51,0,0,409385,95668,16089,4029,14549,164370,40738,15096
51,0,0,248200,182003,25567,57999,12095,28728,12967,19733
80,0,0,26787,62326,2553,11393,14870,8297,2503,1756
51,0,0,2414585,265796,37101,39958,224822,176675,343715,55420
51,0,0,164307,23760,31159,12133,16816,63498,56160,17752
51,0,0,486041,308192,75809,11963,119689,148248,211500,67202
80,0,0,73396,92722,4400,35533,34888,48346,10301,17180
51,0,0,747126,249534,67402,76965,85432,156784,174990,82906
51,0,0,1588933,162615,104016,135961,52339,188185,239249,103079
80,0,0,116353,343604,6538,18236,61008,41883,25412,7767
51,0,0,1835727,117869,45915,67149,47226,176544,173683,106003
51,0,0,930166,181489,50595,19298,45251,270782,350290,99543
80,0,0,210912,38109,16105,32553,9951,57868,25251,22567
51,0,0,1915346,121445,1597,27808,107007,378384,157955,97361
51,0,0,1493608,328446,52000,171264,46965,138047,196968,72853
51,0,0,990623,757914,27398,84849,41896,108493,86853,69946
80,0,0,1222388,99327,55223,43685,39422,412116,184238,309588
51,0,0,959385,206650,34503,14178,37851,527462,280654,90640
51,0,0,924701,646981,136051,64991,40835,100305,86189,132907
80,0,0,858951,888666,115932,60645,116168,101981,138189,94331
51,0,0,1280255,156426,27815,16860,30965,333366,370273,149043
51,0,0,1267799,290960,103837,208590,348477,110630,122136,76063
80,0,0,980573,469596,110437,152580,207014,175663,69996,76234
51,0,0,1308522,784027,89666,170047,258809,829727,1607654,450158
51,0,0,415536,183425,23842,45331,38110,320290,301997,162102
80,0,0,1429292,250667,6742,27648,69646,141526,204337,45454
51,0,0,2389181,688041,35321,186392,198970,1572086,1116681,302190
51,0,0,458020,181562,23843,46388,44695,171650,334325,192672
51,0,0,145009,43219,4151,2477,9686,49638,30611,14726
80,0,0,1088897,237962,20696,20739,29784,179510,196786,78166
51,0,0,64717,32338,12100,3084,6150,119440,61408,16163
51,0,0,1171714,110361,30866,44198,26136,194630,110572,64561
80,0,0,433689,312248,50171,69636,146611,124517,88517,44159
51,0,0,741311,63064,1792,26442,15261,142600,105480,85150
51,0,0,43557,26502,16840,10051,6225,103686,62866,23642
51,0,0,933279,163722,48004,46285,38694,179689,190340,61694
80,0,0,172905,34203,11140,16992,10144,37600,49151,13126
51,0,0,306137,462396,3425,75898,50953,268849,599371,59942
51,0,0,325201,184947,58520,34696,34718,320680,279222,44283
80,0,0,1046674,151086,20963,55870,117505,211361,258909,51626
51,0,0,1602444,181875,11301,24986,15294,394885,357470,90114
51,0,0,415387,180657,26253,37431,39600,233973,636124,55803
51,0,0,1640139,99937,119117,51023,97864,129089,169593,34306
80,0,0,917185,135728,41334,44501,97964,273437,419902,96989
51,0,0,2342304,461463,264849,227206,71179,945778,1168170,164049
51,0,0,308284,353821,34661,50876,48915,321953,200121,63859
51,0,0,3609483,1695442,129101,88955,325764,824844,986813,244387
80,0,0,878971,75122,22267,11017,32019,21625,20536,18750
51,0,0,550343,430465,56588,111806,40804,216706,299160,43263
51,0,0,322019,194669,42102,47820,27281,219743,555301,55356
51,0,0,1296697,121608,99010,32270,44630,142629,131972,94917
80,0,0,999105,364200,33225,25144,53032,243581,150022,69264
51,0,0,554895,237007,20908,7276,42435,178303,428760,69227
51,0,0,554545,264724,113636,32246,38397,290742,527711,48632
51,0,0,347837,258391,16627,6159,24190,324716,381756,41955
80,0,0,980894,647006,33042,28551,15492,282705,669851,35224
51,0,0,608962,76728,41292,30083,15061,206113,297595,46182
51,0,0,335379,459540,32120,76777,102890,370347,216812,106735
51,0,0,522415,41562,63805,82142,9698,269562,215136,38482
80,0,0,370443,345620,19626,13785,26248,229210,430608,41900
51,0,0,102970,380144,78432,77480,46555,323560,245045,89536
51,0,0,320804,188494,79432,75334,46978,256088,341722,41609
51,0,0,744115,278269,37223,17865,74850,390108,650709,32811
80,0,0,97327,19553,7861,25091,11580,113306,99098,9531
51,0,0,2602344,713201,103028,358344,213793,1222762,2520057,248529
51,0,0,397915,69870,58526,83788,36021,271746,385819,21438
51,0,0,571708,130444,59502,21020,52910,125477,297621,44599
80,0,0,1647878,170118,54855,29071,131233,236171,83553,106468
51,0,0,455568,182275,30628,53779,43395,228394,345095,128421
51,0,0,402938,411120,44433,65730,69337,103012,232199,14282
51,0,0,500471,105431,48317,50514,62157,311941,221129,86240
80,0,0,72232,50460,4146,9572,14007,102962,58434,21912
51,0,0,269325,104076,23943,74769,61025,229115,308087,67359
51,0,0,651772,156586,13832,50497,31101,134778,202339,71641
51,0,0,442239,286005,14033,17196,57858,726504,187103,60911
80,0,0,2015372,168147,13703,34076,25071,162145,312262,88431
51,0,0,260072,253262,96527,16063,48272,261882,428270,21675
51,0,0,387488,164613,56776,51804,40493,411046,280313,93976
51,0,0,362493,256071,13295,11007,18412,363360,400621,30003
80,0,0,381643,151638,79410,30073,44261,424305,534359,23155
51,0,0,394354,221967,11788,6668,18304,196781,226067,28665
